name,description,price,mrp,unit,stock,category,featured
Nabati Cheese,Cheese wafer biscuits,10,12,1 pack,60,Biscuits & Snacks,false
Nabati Choco,Chocolate wafer biscuits,10,12,1 pack,60,Biscuits & Snacks,false
Nabati Strawberry,Strawberry wafer biscuits,10,12,1 pack,60,Biscuits & Snacks,false
Maggi,Instant noodles,14,15,70g,80,Biscuits & Snacks,true
Yippee,Instant noodles,14,15,70g,80,Biscuits & Snacks,false
Britannia Rusk,Rusk toast,30,35,1 pack,40,Biscuits & Snacks,false
Elite Rusk,Rusk toast,25,28,1 pack,40,Biscuits & Snacks,false
Kissan Jam,Mixed fruit jam,60,65,200g,30,Biscuits & Snacks,false
Kissan Sauce,Tomato ketchup sachet,22,25,1 sachet,50,Biscuits & Snacks,false
Soya Sauce,Soya sauce,25,28,1 bottle,30,Grocery,false
Lion Dates,Premium dates,40,45,100g,40,Grocery,false
Lion Dates,Premium dates,75,80,200g,40,Grocery,false
Gold Winner Oil,Refined sunflower oil,150,160,1L,30,Oil & Ghee,true
Gold Winner Oil,Refined sunflower oil,80,85,500ml,40,Oil & Ghee,false
Gold Winner Oil,Refined sunflower oil,20,20,small,60,Oil & Ghee,false
Roubini Palm Oil,Palm oil,100,110,1L,30,Oil & Ghee,false
Roubini Palm Oil,Palm oil,55,60,500ml,40,Oil & Ghee,false
Deepam Oil,Lamp oil,80,85,1 bottle,20,Oil & Ghee,false
Groundnut Oil,Pure groundnut oil,200,220,1L,20,Oil & Ghee,false
Lamp Oil,Lamp oil,50,55,1 bottle,20,Oil & Ghee,false
Parachute Coconut Oil,Pure coconut oil,10,10,small,80,Oil & Ghee,false
Parachute Coconut Oil,Pure coconut oil,20,22,medium,60,Oil & Ghee,false
VVD Coconut Oil,Pure coconut oil,40,45,100ml,40,Oil & Ghee,false
VVD Coconut Oil,Pure coconut oil,75,80,200ml,30,Oil & Ghee,false
Udhaya Krishna Ghee,Pure cow ghee,10,10,small,80,Oil & Ghee,false
Udhaya Krishna Ghee,Pure cow ghee,35,38,50g,40,Oil & Ghee,false
Udhaya Krishna Ghee,Pure cow ghee,65,70,100g,30,Oil & Ghee,true
Chakra Gold Tea,Premium CTC tea,45,50,100g,40,Tea & Coffee,true
3 Roses Tea,CTC tea,25,28,50g,50,Tea & Coffee,false
3 Roses Tea,CTC tea,45,50,100g,50,Tea & Coffee,false
3 Roses Tea,CTC tea,110,120,250g,30,Tea & Coffee,false
Gold Cup Tea,CTC tea,5,5,small,100,Tea & Coffee,false
Gold Cup Tea,CTC tea,10,10,medium,80,Tea & Coffee,false
Sunrise Tea,CTC tea sachet,2,2,1 sachet,150,Tea & Coffee,false
Sunrise Tea,CTC tea sachet,5,5,1 sachet,120,Tea & Coffee,false
Sunrise Tea,CTC tea sachet,10,10,1 sachet,100,Tea & Coffee,false
Bru Coffee,Instant coffee,50,55,1 pack,30,Tea & Coffee,false
Boost,Energy drink mix sachet,5,5,1 sachet,100,Tea & Coffee,false
Horlicks,Health drink mix sachet,5,5,1 sachet,100,Tea & Coffee,false
